section,name,expected,baseline_status,baseline_time,improved_status,improved_time,same_status,improved_succeeded_baseline_timeout,baseline_succeeded_improved_timeout,formula
Pelletier 18-34 FOL Challenge,Pelletier 18,valid,valid,6.104190833866596e-05,valid,0.00010149995796382427,True,False,False,∃y.∀x.(big_f(y) → big_f(x))
Pelletier 18-34 FOL Challenge,Pelletier 19,valid,valid,0.00013141706585884094,valid,0.00033866683952510357,True,False,False,∃x.∀y.∀z.((big_p(y) → big_q(z)) → (big_p(x) → big_q(x)))
Pelletier 18-34 FOL Challenge,Pelletier 20,valid,timeout,2.5334115840960294,not_proved,0.00041208299808204174,False,False,False,(∀x.∀y.∃z.∀w.((big_p(x) ∧ big_q(y)) → (big_r(z) ∧ big_s(w))) → ∃x1.∃y1.((big_p(x1) ∧ big_q(y1)) → ∃z1.big_r(z1)))
Pelletier 18-34 FOL Challenge,Pelletier 21,valid,timeout,5.001824457896873,valid,0.0003296670038253069,False,True,False,((∃x.(p → big_f(x)) ∧ ∃x.(big_f(x) → p)) → ∃x.((p → big_f(x)) ∧ (big_f(x) → p)))
Pelletier 18-34 FOL Challenge,Pelletier 22,valid,timeout,5.0045974580571055,valid,0.0002130840439349413,False,True,False,(∀x.((p → big_f(x)) ∧ (big_f(x) → p)) → ((p → ∀x1.big_f(x1)) ∧ (∀x1.big_f(x1) → p)))
Pelletier 18-34 FOL Challenge,Pelletier 23,valid,valid,5.187490023672581e-05,valid,0.00010670791380107403,True,False,False,((∀x.(p ∨ big_f(x)) → (p ∨ ∀x1.big_f(x1))) ∧ ((p ∨ ∀x1.big_f(x1)) → ∀x.(p ∨ big_f(x))))
Pelletier 18-34 FOL Challenge,Pelletier 24,valid,timeout,5.003285416867584,timeout,5.084431832889095,True,False,False,((((¬∃x.(big_s(x) ∧ big_q(x)) ∧ ∀x.(big_p(x) → (big_q(x) ∨ big_r(x)))) ∧ (¬∃x.big_p(x) → ∃y.big_q(y))) ∧ ∀x.((big_q(x) ∨ big_r(x)) → big_s(x))) → ∃x.(big_p(x) ∧ big_r(x)))
Pelletier 18-34 FOL Challenge,Pelletier 25,valid,timeout,5.003375667147338,valid,0.0009218750055879354,False,True,False,((((∃x.big_p(x) ∧ ∀x.(big_f(x) → (¬big_g(x) ∧ big_r(x)))) ∧ ∀x.(big_p(x) → (big_g(x) ∧ big_f(x)))) ∧ (∀x.(big_p(x) → big_q(x)) ∨ ∃z.(big_p(z) ∧ big_r(z)))) → ∃x.(big_q(x) ∧ big_p(x)))
Pelletier 18-34 FOL Challenge,Pelletier 26,valid,timeout,5.01845429209061,not_proved,0.00048133404925465584,False,False,False,((((∃x.big_p(x) → ∃y.big_q(y)) ∧ (∃y.big_q(y) → ∃x.big_p(x))) ∧ ∀x.∀y.((big_p(x) ∧ big_q(y)) → ((big_r(x) → big_s(y)) ∧ (big_s(y) → big_r(x))))) → ((∀x.(big_p(x) → big_r(x)) → ∀y.(big_q(y) → big_s(y))) ∧ (∀y.(big_q(y) → big_s(y)) → ∀x.(big_p(x) → big_r(x)))))
Pelletier 18-34 FOL Challenge,Pelletier 27,valid,timeout,5.0032667918130755,timeout,5.0952139580622315,True,False,False,((((∃x.(big_f(x) ∧ ¬big_g(x)) ∧ ∀x.(big_f(x) → big_h(x))) ∧ ∀x.((big_j(x) ∧ big_i(x)) → big_f(x))) ∧ (∃x.(big_h(x) ∧ ¬big_g(x)) → ∀x1.(big_i(x1) → ¬big_h(x1)))) → ∀x.(big_j(x) → ¬big_i(x)))
